,Genome,Contig,Nitrogenase Set,Position,Location,Group No,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,PredGrowthTemp
5007,RS_GCF_020819555.1,NZ_JAJHJB010000026.1,HDKKNN,"30,31,32,33,34,37",32787-34025,,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__DSM-13327;f__DSM-13327;g__Pelosinus;s__Pelosinus baikalensis,Russia: Lake Baikal,bottom sediments,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Pelosinus;s__Pelosinus baikalensis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Pelosinus;s__Pelosinus baikalensis,Pelosinus baikalensis,,
5008,RS_GCF_020819555.1,NZ_JAJHJB010000029.1,HDK,"18,20,23",16007-17395,,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__DSM-13327;f__DSM-13327;g__Pelosinus;s__Pelosinus baikalensis,Russia: Lake Baikal,bottom sediments,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Pelosinus;s__Pelosinus baikalensis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Pelosinus;s__Pelosinus baikalensis,Pelosinus baikalensis,,
5009,RS_GCF_020831405.1,NZ_JAJHPU010000039.1,HDK,"154,155,156",156007-156879,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_K;s__Pseudomonas_K oryzagri,Bangladesh: Magura,soil,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas oryzagri,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas oryzagri,Pseudomonas_K oryzagri,,
5010,RS_GCF_020885515.1,NZ_AP024987.1,HDDKN,"881,882,883,884,885",1079288-1080157,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Atelocyanobacterium;s__Atelocyanobacterium thalassa_A,none,single cell of Braarudosphaera bigelowii,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Candidatus Atelocyanobacterium;s__Candidatus Atelocyanobacterium thalassa,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae;g__Candidatus Atelocyanobacterium;s__Candidatus Atelocyanobacterium thalassa;x__cyanobacterium endosymbiont of Braarudosphaera bigelowii,Atelocyanobacterium thalassa_A,,
5011,RS_GCF_020886695.1,NZ_AP024485.1,HDKEE,"1236,1237,1241,1242,1245",1318784-1320160,,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio sediminis,Japan:Hokkaido; Akkeshi; Lake Akkeshi,sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio sediminis,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio sediminis,Pseudodesulfovibrio sediminis,,
5012,RS_GCF_020908015.1,NZ_JAJJPB010000006.1,HDKEN,"10,11,12,13,16",9849-12542,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_B;s__Clostridium_B aromativorans,China: Yibin,Wuliangye 501 Baijiu making workshop,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium aromativorans,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium aromativorans,Clostridium_B aromativorans,,
5013,RS_GCF_020966755.1,NZ_JAJKFT010000004.1,HDDKNN,"1316,1318,1319,1320,1325,1326",1628457-1629947,,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__Blastopirellula sediminis,India: Neil Island,sediment,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__Blastopirellula sediminis,d__Bacteria;x__PVC group;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__Blastopirellula sediminis,Blastopirellula sediminis,,
5014,RS_GCF_021021555.1,NZ_JAINWA010000003.1,HDDKE,"647,650,651,652,653",734627-735451,Group 2,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Teretinema;s__Teretinema zuelzerae,none,freshwater sediment,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__Treponema zuelzerae,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae;g__Treponema;s__Treponema zuelzerae,Teretinema zuelzerae,,
5015,RS_GCF_021023085.1,NZ_PGCK01000003.1,HDDKK,"105,106,107,108,111",102297-103694,,d__Archaea;p__Halobacteriota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__PGCK01;s__PGCK01 sp021023085,Taiwan: Offshore Southwestern Taiwan,marine sediment,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;x__unclassified Methanocella;s__Methanocella sp. CWC-04,PGCK01 sp021023085,,
5016,RS_GCF_021043395.1,NZ_JAJNKE010000063.1,HDK,"10,11,2",8641-9957,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_S;s__Clostridium_S guangxiense,China: Guangxi,Baijiu pit mud,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium guangxiense,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium guangxiense,Clostridium_S guangxiense,,
5017,RS_GCF_021043395.1,NZ_JAJNKE010000065.1,HDKEN,"1,4,5,6,7",94-912,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_S;s__Clostridium_S guangxiense,China: Guangxi,Baijiu pit mud,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium guangxiense,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium guangxiense,Clostridium_S guangxiense,,
5018,RS_GCF_021044585.1,NZ_CP087998.1,HDKN,"1591,1592,1594,1601",1582975-1584525,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__JACXUG01;s__JACXUG01 sp021044585,China: Mangrove sediment of the supralittoral zone in the Jiulong river estuary,mangrove sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;x__unclassified Sulfurimonas;s__Sulfurimonas sp. HSL-3221,JACXUG01 sp021044585,,
5019,RS_GCF_021044625.1,NZ_CP087999.1,HDKN,"4090,4091,4092,4093",4881056-4883809,,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__RF6;s__RF6 sp021044625,China:Fujian,rice,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geomonas;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geomonas;x__unclassified Geomonas;s__Geomonas sp. RF6,RF6 sp021044625,,
5020,RS_GCF_021049305.1,NZ_CP088081.1,HDKEN,"710,711,712,718,720",797063-797944,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ideonella;s__Ideonella dechloratans,Sweden: Malmo; Sjolunda municipal treatment plant,Activated sludge; wastewater treatment plant,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Ideonella;s__Ideonella dechloratans,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Ideonella;s__Ideonella dechloratans,Ideonella dechloratans,,
5021,RS_GCF_021088345.1,NZ_CP088156.1,HDKEN,"6779,6780,6781,6782,6783",7803471-7804358,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp021088345,Canada: Ottawa; Ontario,root-nodule,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;x__unclassified Bradyrhizobium;s__Bradyrhizobium sp. A19,Bradyrhizobium sp021088345,,
5022,RS_GCF_021209385.1,NZ_JAJOIL010000001.1,HDKEN,"136,137,139,140,141",146129-147439,,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;g__Seleniivibrio;s__Seleniivibrio sp021209385,India: Jetpur; Gujarat,Textile industry effluent,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Geovibrionaceae;g__Seleniivibrio;s__,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Geovibrionaceae;g__Seleniivibrio;x__unclassified Seleniivibrio;s__Seleniivibrio sp.,Seleniivibrio sp021209385,,
5023,RS_GCF_021209385.1,NZ_JAJOIL010000007.1,HDK,"12,14,15",11366-12757,,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;g__Seleniivibrio;s__Seleniivibrio sp021209385,India: Jetpur; Gujarat,Textile industry effluent,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Geovibrionaceae;g__Seleniivibrio;s__,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Geovibrionaceae;g__Seleniivibrio;x__unclassified Seleniivibrio;s__Seleniivibrio sp.,Seleniivibrio sp021209385,,
5024,RS_GCF_021228795.1,NZ_CP089309.1,HDK,"1615,1616,1617",1744235-1745119,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocapsa;s__Thiocapsa bogorovii,Russia: White Sea,sludge from White Sea estuary,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocapsa;s__Thiocapsa bogorovii,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocapsa;s__Thiocapsa bogorovii,Thiocapsa bogorovii,,
5025,RS_GCF_021272385.1,NZ_JAJSDZ010000010.1,HDDKN,"567,568,569,580,581",627927-628808,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio salinus,none,lagoon sediment,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio salinus,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio salinus,Vibrio salinus,,
5026,RS_GCF_021287045.1,NZ_JAJTBG010000005.1,HDK,"201,202,203",218165-219037,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Oryzomicrobium;s__Oryzomicrobium sp021287045,South Korea: Daejeon,enrichment of activated sludge from Daejeon WWTP,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Oryzomicrobium;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Oryzomicrobium;x__unclassified Oryzomicrobium;s__Oryzomicrobium sp.,Oryzomicrobium sp021287045,,
5027,RS_GCF_021287135.1,NZ_JAJTBB010000078.1,HDDKN,"152,153,154,159,160",143546-144427,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax sp021287135,South Korea: Daejeon,enrichment of activated sludge from Daejeon WWTP,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;x__unclassified Acidovorax;s__Acidovorax sp.,Acidovorax sp021287135,,
5028,RS_GCF_021290925.1,NZ_JAJSLX010000003.1,HDK,"201,202,203",203291-204862,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Sessilibacter;s__Sessilibacter corallicola,China: Weizhou,coral,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Sessilibacter;s__Sessilibacter corallicola,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Sessilibacter;s__Sessilibacter corallicola,Sessilibacter corallicola,,
5029,RS_GCF_021295395.1,NZ_JAIWOU010000001.1,HDKEN,"1288,1289,1290,1291,1292",1381955-1383352,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter sp021295395,Japan,nata-de-coco producing bacterial culture,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;x__unclassified Komagataeibacter;s__Komagataeibacter sp. FNDCR2,Komagataeibacter sp021295395,,
5030,RS_GCF_021353235.1,NZ_JAJTWT010000004.1,HDKEN,"228,229,230,232,233",247244-248143,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelomonas;s__Pelomonas sp021353235,South Korea: Ilsan,soil,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;x__unclassified Pelomonas;s__Pelomonas sp. P7,Pelomonas sp021353235,,
5031,RS_GCF_021353265.1,NZ_JAJTWU010000008.1,HDDKN,"273,274,275,282,287",302415-303296,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelomonas;s__Pelomonas sp021353265,South Korea: Ilsan,soil,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;x__unclassified Pelomonas;s__Pelomonas sp. P8,Pelomonas sp021353265,,
5032,RS_GCF_021353295.2,NZ_CP120635.1,HDKKE,"2697,2698,2701,2702,2705",2943637-2945004,,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio sp021353295,India: Mumbai,Oil reservoir,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;x__unclassified Pseudodesulfovibrio;s__Pseudodesulfovibrio sp. MCM B-1480,Pseudodesulfovibrio sp021353295,,
5033,RS_GCF_021372645.1,NZ_JAJFUC010000052.1,HDKKE,"36,39,40,41,42",31872-32693,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp021372645,USA: Altavista; VA,PCB contaminated wastewater treatment lagoon sediment microcosms,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;x__unclassified Clostridium;s__Clostridium sp.,Clostridium sp021372645,,
5034,RS_GCF_021379005.1,NZ_CP075171.1,HDDK,"4942,4943,4944,4946",5296687-5297583,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptodesmis;s__Leptodesmis sichuanensis,China: Ganzi Prefecture,Water,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptodesmis;s__Leptodesmis sichuanensis,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptodesmis;s__Leptodesmis sichuanensis;x__Leptodesmis sichuanensis A121,Leptodesmis sichuanensis,,
5035,RS_GCF_021391675.1,NZ_CP090097.1,HDKNN,"68,69,70,71,72",71195-72541,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium galegae_B,Russia: Adygea republic; North Caucasus,Plant nodule,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium galegae,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Neorhizobium;s__Neorhizobium galegae,Neorhizobium galegae_B,,
5036,RS_GCF_021401135.1,NZ_JACBFO010000003.1,HDDK,"136,145,146,147",160194-161594,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus sp021401135,Belgium: Ghent,ENVO:00002223,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Azonexus;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Azonexus;x__unclassified Azonexus;s__Azonexus sp. R2A61,Azonexus sp021401135,,
5037,RS_GCF_021401245.1,NZ_JACBFY010000001.1,HDKEN,"881,882,890,891,892",994090-995520,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xenophilus;s__Xenophilus sp903864295,Belgium: Ghent,ENVO:00002223,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pseudacidovorax;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pseudacidovorax;x__unclassified Pseudacidovorax;s__Pseudacidovorax sp. NFM-22,Xenophilus sp903864295,,
5038,RS_GCF_021432385.1,NZ_JAEACT010000003.1,HDKEN,"89,90,91,92,95",92749-95412,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_S;s__Clostridium_S hydrogenum,Thailand,mangrove sediment,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium hydrogenum,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium hydrogenum,Clostridium_S hydrogenum,,
5039,RS_GCF_021502575.1,NZ_JAKFGN010000003.1,HDKEN,"10,11,12,8,9",7920-9479,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia sp021502575,South Korea: Yeongju-si,ginseng field soil,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;x__unclassified Bradyrhizobium;s__Bradyrhizobium sp. G127,Afipia sp021502575,,
5040,RS_GCF_021568905.1,NZ_JAKGSB010000001.1,HDKEN,"789,790,791,792,793",846157-847053,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Zavarziniales;f__Zavarziniaceae;g__Zavarzinia;s__Zavarzinia marina,Pacific Ocean: Western Pacific Ocean,deepsea water,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Zavarziniaceae;g__Zavarzinia;s__Zavarzinia marina,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Zavarziniaceae;g__Zavarzinia;s__Zavarzinia marina,Zavarzinia marina,,
5041,RS_GCF_021654335.1,NZ_AP023423.1,HDK,"790,791,792",828165-829037,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxyarcus;s__Sideroxyarcus emersonii,Japan:Ibaraki; Tsukuba,mesophilic sediment,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae;g__Sideroxyarcus;s__Sideroxyarcus emersonii,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae;g__Sideroxyarcus;s__Sideroxyarcus emersonii,Sideroxyarcus emersonii,,
5042,RS_GCF_021654575.1,NZ_AP024488.1,HDDKE,"1559,1560,1563,1566,1567",1952810-1954186,,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfolunaceae;g__Desulfoluna;s__Desulfoluna limicola,Japan:Hokkaido; Akkeshi; Lake Akkeshi,sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfolunaceae;g__Desulfoluna;s__Desulfoluna limicola,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfolunaceae;g__Desulfoluna;s__Desulfoluna limicola,Desulfoluna limicola,,
5043,RS_GCF_021729865.1,NZ_CP063400.1,HDKEN,"1530,1531,1532,1538,1539",1615934-1616830,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__Hydrogenophaga sp021729865,Canada: Montreal,root nodules,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;x__unclassified Hydrogenophaga;s__Hydrogenophaga sp. SL48,Hydrogenophaga sp021729865,,
5044,RS_GCF_021730435.1,NZ_JABWGX010000011.1,HDKEN,"81,82,86,88,90",107327-108697,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter agilis,Switzerland: Neuchatel,[ENVO:00002006],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter agilis,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter agilis,Xanthobacter agilis,,
5045,RS_GCF_021740465.1,NZ_JAIOZR010000019.1,HDDKN,"25,28,29,30,31",24191-25015,Group 2,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium sp021740465,Spain: Laguna del Tobar,aquatic biome,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;x__unclassified Chlorobium;s__Chlorobium sp.,Chlorobium sp021740465,,
5046,RS_GCF_021768455.1,NZ_JAIZVX010000016.1,HDKEN,"11,12,21,22,23",4847-6328,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium sp021768455,USA: Atlanta,Flood water,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__Aquabacterium;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;x__Burkholderiales genera incertae sedis;g__Aquabacterium;x__unclassified Aquabacterium;s__Aquabacterium sp.,Aquabacterium sp021768455,,
5047,RS_GCF_021864535.1,NZ_JAKJIC010000006.1,HDKEN,"170,171,172,176,177",194674-195573,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__Pleomorphomonas sp021864535,South Korea,paddy soil,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;x__unclassified Pleomorphomonas;s__Pleomorphomonas sp. COJ-58,Pleomorphomonas sp021864535,,
